[Thu 2018-05-10 12:03:04 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 1 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:05 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 2 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:06 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 3 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:07 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 4 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:07 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 5 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:09 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 6 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:10 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 7 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:11 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 8 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:12 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 9 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 12:03:13 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 10 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-05-10 12:03:14 PM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 11 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
